"Type","Entries","Year","Value"
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","1981",2225
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","1981",2246
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","1981",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","1981",967
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","1981",730
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","1981",34
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","1981",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","1981",280
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","1981",950
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","1981",417
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","1981",408
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","1981",0
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","1981",1080
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","1981",0
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","1981",0
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","1981",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","1982",2619
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","1982",1360
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","1982",2075
